session_id,top1,top2,top3,top4,top5
360838,A,A,A,A,A
430109,A,A,A,A,A
565608,A,A,A,A,A
259968,A,A,A,A,A
406298,A,A,A,A,A
367449,A,A,A,A,A
490019,A,A,A,A,A
678168,A,A,A,A,A
113699,A,A,A,A,A
413188,A,A,A,A,A
253229,A,A,A,A,A
20789,A,A,A,A,A
32059,A,A,A,A,A
381829,A,A,A,A,A
705258,A,A,A,A,A
59319,A,A,A,A,A
361908,A,A,A,A,A
6018,A,A,A,A,A
374099,A,A,A,A,A
120068,A,A,A,A,A
495738,A,A,A,A,A
556219,A,A,A,A,A
444689,A,A,A,A,A
525089,A,A,A,A,A
70538,A,A,A,A,A
304639,A,A,A,A,A
393698,A,A,A,A,A
293889,A,A,A,A,A
63578,A,A,A,A,A
395308,A,A,A,A,A
17139,A,A,A,A,A
510259,A,A,A,A,A
175538,A,A,A,A,A
424168,A,A,A,A,A
508328,A,A,A,A,A
198528,A,A,A,A,A
512918,A,A,A,A,A
239608,A,A,A,A,A
99639,A,A,A,A,A
535598,A,A,A,A,A
436599,A,A,A,A,A
392378,A,A,A,A,A
161938,A,A,A,A,A
162638,A,A,A,A,A
37339,A,A,A,A,A
80559,A,A,A,A,A
640109,A,A,A,A,A
83338,A,A,A,A,A
654539,A,A,A,A,A
52988,A,A,A,A,A
679998,A,A,A,A,A
418719,A,A,A,A,A
124729,A,A,A,A,A
519419,A,A,A,A,A
350249,A,A,A,A,A
498859,A,A,A,A,A
544008,A,A,A,A,A
329819,A,A,A,A,A
2869,A,A,A,A,A
118369,A,A,A,A,A
186049,A,A,A,A,A
592839,A,A,A,A,A
468319,A,A,A,A,A
530509,A,A,A,A,A
309988,A,A,A,A,A
499929,A,A,A,A,A
463789,A,A,A,A,A
352388,A,A,A,A,A
703458,A,A,A,A,A
357979,A,A,A,A,A
114298,A,A,A,A,A
189318,A,A,A,A,A
295278,A,A,A,A,A
437479,A,A,A,A,A
448718,A,A,A,A,A
289609,A,A,A,A,A
171918,A,A,A,A,A
31069,A,A,A,A,A
638518,A,A,A,A,A
203758,A,A,A,A,A
487619,A,A,A,A,A
400169,A,A,A,A,A
282319,A,A,A,A,A
128438,A,A,A,A,A
444638,A,A,A,A,A
304129,A,A,A,A,A
177129,A,A,A,A,A
355818,A,A,A,A,A
270529,A,A,A,A,A
479179,A,A,A,A,A
459609,A,A,A,A,A
612228,A,A,A,A,A
353709,A,A,A,A,A
489258,A,A,A,A,A
457129,A,A,A,A,A
433698,A,A,A,A,A
405849,A,A,A,A,A
566548,A,A,A,A,A
376019,A,A,A,A,A
169409,A,A,A,A,A
499588,A,A,A,A,A
55488,A,A,A,A,A
60338,A,A,A,A,A
257528,A,A,A,A,A
580188,A,A,A,A,A
643218,A,A,A,A,A
433429,A,A,A,A,A
68099,A,A,A,A,A
658288,A,A,A,A,A
560219,A,A,A,A,A
498628,A,A,A,A,A
712139,A,A,A,A,A
428758,A,A,A,A,A
243789,A,A,A,A,A
185039,A,A,A,A,A
418288,A,A,A,A,A
294328,A,A,A,A,A
455059,A,A,A,A,A
556948,A,A,A,A,A
285028,A,A,A,A,A
141739,A,A,A,A,A
162588,A,A,A,A,A
704658,A,A,A,A,A
73509,A,A,A,A,A
263329,A,A,A,A,A
187139,A,A,A,A,A
67838,A,A,A,A,A
690468,A,A,A,A,A
355618,A,A,A,A,A
550118,A,A,A,A,A
123279,A,A,A,A,A
370348,A,A,A,A,A
484669,A,A,A,A,A
634168,A,A,A,A,A
221688,A,A,A,A,A
215389,A,A,A,A,A
156279,A,A,A,A,A
18939,A,A,A,A,A
489469,A,A,A,A,A
94408,A,A,A,A,A
448399,A,A,A,A,A
642398,A,A,A,A,A
425918,A,A,A,A,A
323629,A,A,A,A,A
257529,A,A,A,A,A
697928,A,A,A,A,A
223088,A,A,A,A,A
138489,A,A,A,A,A
453049,A,A,A,A,A
194818,A,A,A,A,A
713249,A,A,A,A,A
194249,A,A,A,A,A
623119,A,A,A,A,A
190238,A,A,A,A,A
493859,A,A,A,A,A
314968,A,A,A,A,A
566568,A,A,A,A,A
276099,A,A,A,A,A
136738,A,A,A,A,A
543899,A,A,A,A,A
585218,A,A,A,A,A
624298,A,A,A,A,A
31988,A,A,A,A,A
450639,A,A,A,A,A
570248,A,A,A,A,A
594668,A,A,A,A,A
443149,A,A,A,A,A
87608,A,A,A,A,A
52288,A,A,A,A,A
289388,A,A,A,A,A
469489,A,A,A,A,A
79499,A,A,A,A,A
218718,A,A,A,A,A
642588,A,A,A,A,A
478109,A,A,A,A,A
529849,A,A,A,A,A
347059,A,A,A,A,A
281009,A,A,A,A,A
68288,A,A,A,A,A
575438,A,A,A,A,A
300968,A,A,A,A,A
50338,A,A,A,A,A
199488,A,A,A,A,A
176069,A,A,A,A,A
129979,A,A,A,A,A
701178,A,A,A,A,A
580439,A,A,A,A,A
42738,A,A,A,A,A
636488,A,A,A,A,A
298529,A,A,A,A,A
197729,A,A,A,A,A
534688,A,A,A,A,A
650188,A,A,A,A,A
443708,A,A,A,A,A
309669,A,A,A,A,A
376949,A,A,A,A,A
386958,A,A,A,A,A
622348,A,A,A,A,A
162179,A,A,A,A,A
234698,A,A,A,A,A
628658,A,A,A,A,A
566578,A,A,A,A,A
198508,A,A,A,A,A
376119,A,A,A,A,A
107028,A,A,A,A,A
672918,A,A,A,A,A
500748,A,A,A,A,A
560889,A,A,A,A,A
242488,A,A,A,A,A
251999,A,A,A,A,A
468758,A,A,A,A,A
573069,A,A,A,A,A
367369,A,A,A,A,A
682239,A,A,A,A,A
589558,A,A,A,A,A
477319,A,A,A,A,A
450449,A,A,A,A,A
653619,A,A,A,A,A
614578,A,A,A,A,A
615559,A,A,A,A,A
384169,A,A,A,A,A
420938,A,A,A,A,A
560138,A,A,A,A,A
510449,A,A,A,A,A
42049,A,A,A,A,A
551408,A,A,A,A,A
270698,A,A,A,A,A
194719,A,A,A,A,A
611549,A,A,A,A,A
217728,A,A,A,A,A
176059,A,A,A,A,A
557889,A,A,A,A,A
686598,A,A,A,A,A
377368,A,A,A,A,A
709998,A,A,A,A,A
56019,A,A,A,A,A
186738,A,A,A,A,A
648628,A,A,A,A,A
72788,A,A,A,A,A
60378,A,A,A,A,A
290628,A,A,A,A,A
546718,A,A,A,A,A
586729,A,A,A,A,A
264758,A,A,A,A,A
455889,A,A,A,A,A
94768,A,A,A,A,A
219618,A,A,A,A,A
519429,A,A,A,A,A
114389,A,A,A,A,A
318938,A,A,A,A,A
375529,A,A,A,A,A
244978,A,A,A,A,A
620989,A,A,A,A,A
295909,A,A,A,A,A
665959,A,A,A,A,A
334459,A,A,A,A,A
615878,A,A,A,A,A
575768,A,A,A,A,A
69628,A,A,A,A,A
297809,A,A,A,A,A
348118,A,A,A,A,A
10599,A,A,A,A,A
101858,A,A,A,A,A
62188,A,A,A,A,A
407508,A,A,A,A,A
647569,A,A,A,A,A
438129,A,A,A,A,A
158408,A,A,A,A,A
198519,A,A,A,A,A
355508,A,A,A,A,A
670918,A,A,A,A,A
516848,A,A,A,A,A
652538,A,A,A,A,A
526359,A,A,A,A,A
463558,A,A,A,A,A
338589,A,A,A,A,A
199818,A,A,A,A,A
511818,A,A,A,A,A
709829,A,A,A,A,A
40468,A,A,A,A,A
219809,A,A,A,A,A
401678,A,A,A,A,A
474288,A,A,A,A,A
394338,A,A,A,A,A
674878,A,A,A,A,A
178348,A,A,A,A,A
477278,A,A,A,A,A
280079,A,A,A,A,A
441008,A,A,A,A,A
348459,A,A,A,A,A
536619,A,A,A,A,A
271459,A,A,A,A,A
88138,A,A,A,A,A
339119,A,A,A,A,A
172409,A,A,A,A,A
398209,A,A,A,A,A
564508,A,A,A,A,A
408628,A,A,A,A,A
223938,A,A,A,A,A
150329,A,A,A,A,A
100949,A,A,A,A,A
518808,A,A,A,A,A
115138,A,A,A,A,A
51519,A,A,A,A,A
639,A,A,A,A,A
154598,A,A,A,A,A
444068,A,A,A,A,A
661879,A,A,A,A,A
702358,A,A,A,A,A
704179,A,A,A,A,A
469388,A,A,A,A,A
39739,A,A,A,A,A
678918,A,A,A,A,A
264219,A,A,A,A,A
556749,A,A,A,A,A
610128,A,A,A,A,A
400648,A,A,A,A,A
655058,A,A,A,A,A
132288,A,A,A,A,A
305339,A,A,A,A,A
357519,A,A,A,A,A
456218,A,A,A,A,A
249218,A,A,A,A,A
704188,A,A,A,A,A
7719,A,A,A,A,A
31678,A,A,A,A,A
226998,A,A,A,A,A
1648,A,A,A,A,A
128109,A,A,A,A,A
178649,A,A,A,A,A
631118,A,A,A,A,A
128788,A,A,A,A,A
250628,A,A,A,A,A
194129,A,A,A,A,A
126639,A,A,A,A,A
299329,A,A,A,A,A
540819,A,A,A,A,A
546178,A,A,A,A,A
350399,A,A,A,A,A
185989,A,A,A,A,A
434649,A,A,A,A,A
164049,A,A,A,A,A
241268,A,A,A,A,A
300178,A,A,A,A,A
313438,A,A,A,A,A
452438,A,A,A,A,A
384659,A,A,A,A,A
273639,A,A,A,A,A
50828,A,A,A,A,A
614359,A,A,A,A,A
292589,A,A,A,A,A
236239,A,A,A,A,A
108659,A,A,A,A,A
460569,A,A,A,A,A
495459,A,A,A,A,A
572788,A,A,A,A,A
280318,A,A,A,A,A
452958,A,A,A,A,A
101539,A,A,A,A,A
297798,A,A,A,A,A
574719,A,A,A,A,A
501169,A,A,A,A,A
647528,A,A,A,A,A
619529,A,A,A,A,A
36779,A,A,A,A,A
530058,A,A,A,A,A
663848,A,A,A,A,A
146379,A,A,A,A,A
285948,A,A,A,A,A
588278,A,A,A,A,A
158779,A,A,A,A,A
41169,A,A,A,A,A
390438,A,A,A,A,A
91738,A,A,A,A,A
130938,A,A,A,A,A
210589,A,A,A,A,A
704679,A,A,A,A,A
569868,A,A,A,A,A
305538,A,A,A,A,A
114968,A,A,A,A,A
218368,A,A,A,A,A
207699,A,A,A,A,A
478318,A,A,A,A,A
257028,A,A,A,A,A
313689,A,A,A,A,A
706548,A,A,A,A,A
657658,A,A,A,A,A
361029,A,A,A,A,A
170868,A,A,A,A,A
129878,A,A,A,A,A
212029,A,A,A,A,A
7618,A,A,A,A,A
96368,A,A,A,A,A
519048,A,A,A,A,A
593659,A,A,A,A,A
534538,A,A,A,A,A
672578,A,A,A,A,A
411979,A,A,A,A,A
330838,A,A,A,A,A
348798,A,A,A,A,A
397889,A,A,A,A,A
480989,A,A,A,A,A
683609,A,A,A,A,A
173128,A,A,A,A,A
144149,A,A,A,A,A
512429,A,A,A,A,A
394828,A,A,A,A,A
376619,A,A,A,A,A
703978,A,A,A,A,A
116479,A,A,A,A,A
404579,A,A,A,A,A
20068,A,A,A,A,A
692499,A,A,A,A,A
379258,A,A,A,A,A
501148,A,A,A,A,A
464639,A,A,A,A,A
395169,A,A,A,A,A
440368,A,A,A,A,A
418569,A,A,A,A,A
45618,A,A,A,A,A
413938,A,A,A,A,A
338969,A,A,A,A,A
105409,A,A,A,A,A
170548,A,A,A,A,A
538638,A,A,A,A,A
579969,A,A,A,A,A
412979,A,A,A,A,A
392299,A,A,A,A,A
629469,A,A,A,A,A
371579,A,A,A,A,A
18639,A,A,A,A,A
158329,A,A,A,A,A
600298,A,A,A,A,A
177999,A,A,A,A,A
486638,A,A,A,A,A
436968,A,A,A,A,A
401599,A,A,A,A,A
242209,A,A,A,A,A
455488,A,A,A,A,A
12009,A,A,A,A,A
403678,A,A,A,A,A
265358,A,A,A,A,A
142268,A,A,A,A,A
221368,A,A,A,A,A
255878,A,A,A,A,A
463519,A,A,A,A,A
229019,A,A,A,A,A
671138,A,A,A,A,A
644558,A,A,A,A,A
197188,A,A,A,A,A
379908,A,A,A,A,A
401829,A,A,A,A,A
624598,A,A,A,A,A
178299,A,A,A,A,A
466539,A,A,A,A,A
557999,A,A,A,A,A
369328,A,A,A,A,A
523948,A,A,A,A,A
32459,A,A,A,A,A
358249,A,A,A,A,A
559359,A,A,A,A,A
356008,A,A,A,A,A
619579,A,A,A,A,A
711329,A,A,A,A,A
301689,A,A,A,A,A
285699,A,A,A,A,A
311479,A,A,A,A,A
404668,A,A,A,A,A
186658,A,A,A,A,A
497889,A,A,A,A,A
583859,A,A,A,A,A
490208,A,A,A,A,A
326468,A,A,A,A,A
431129,A,A,A,A,A
455238,A,A,A,A,A
155218,A,A,A,A,A
564688,A,A,A,A,A
444199,A,A,A,A,A
700558,A,A,A,A,A
702609,A,A,A,A,A
509449,A,A,A,A,A
381539,A,A,A,A,A
456718,A,A,A,A,A
581068,A,A,A,A,A
378179,A,A,A,A,A
635299,A,A,A,A,A
472988,A,A,A,A,A
16599,A,A,A,A,A
714578,A,A,A,A,A
263338,A,A,A,A,A
60238,A,A,A,A,A
305688,A,A,A,A,A
78228,A,A,A,A,A
594139,A,A,A,A,A
542379,A,A,A,A,A
50849,A,A,A,A,A
134418,A,A,A,A,A
193968,A,A,A,A,A
600368,A,A,A,A,A
12249,A,A,A,A,A
518668,A,A,A,A,A
452838,A,A,A,A,A
409249,A,A,A,A,A
402398,A,A,A,A,A
379769,A,A,A,A,A
183319,A,A,A,A,A
662208,A,A,A,A,A
461399,A,A,A,A,A
459269,A,A,A,A,A
304118,A,A,A,A,A
361729,A,A,A,A,A
419639,A,A,A,A,A
355519,A,A,A,A,A
399569,A,A,A,A,A
577498,A,A,A,A,A
663689,A,A,A,A,A
176799,A,A,A,A,A
680859,A,A,A,A,A
601488,A,A,A,A,A
288339,A,A,A,A,A
351089,A,A,A,A,A
375909,A,A,A,A,A
422409,A,A,A,A,A
653888,A,A,A,A,A
40538,A,A,A,A,A
557968,A,A,A,A,A
252228,A,A,A,A,A
612509,A,A,A,A,A
654168,A,A,A,A,A
117539,A,A,A,A,A
318248,A,A,A,A,A
446889,A,A,A,A,A
37318,A,A,A,A,A
636009,A,A,A,A,A
141758,A,A,A,A,A
355989,A,A,A,A,A
115189,A,A,A,A,A
584558,A,A,A,A,A
535408,A,A,A,A,A
125069,A,A,A,A,A
478938,A,A,A,A,A
493368,A,A,A,A,A
72599,A,A,A,A,A
563068,A,A,A,A,A
596009,A,A,A,A,A
707948,A,A,A,A,A
631598,A,A,A,A,A
199429,A,A,A,A,A
647118,A,A,A,A,A
105019,A,A,A,A,A
352749,A,A,A,A,A
92419,A,A,A,A,A
559779,A,A,A,A,A
558409,A,A,A,A,A
297599,A,A,A,A,A
101758,A,A,A,A,A
9388,A,A,A,A,A
5158,A,A,A,A,A
14448,A,A,A,A,A
67929,A,A,A,A,A
38469,A,A,A,A,A
706848,A,A,A,A,A
253288,A,A,A,A,A
662249,A,A,A,A,A
268329,A,A,A,A,A
307898,A,A,A,A,A
313659,A,A,A,A,A
371178,A,A,A,A,A
477379,A,A,A,A,A
192109,A,A,A,A,A
442348,A,A,A,A,A
669389,A,A,A,A,A
543648,A,A,A,A,A
424769,A,A,A,A,A
71779,A,A,A,A,A
215028,A,A,A,A,A
424328,A,A,A,A,A
557758,A,A,A,A,A
400449,A,A,A,A,A
632178,A,A,A,A,A
168539,A,A,A,A,A
598349,A,A,A,A,A
337208,A,A,A,A,A
108748,A,A,A,A,A
383468,A,A,A,A,A
594079,A,A,A,A,A
191698,A,A,A,A,A
10928,A,A,A,A,A
500479,A,A,A,A,A
270809,A,A,A,A,A
6879,A,A,A,A,A
65549,A,A,A,A,A
58088,A,A,A,A,A
499378,A,A,A,A,A
315578,A,A,A,A,A
615678,A,A,A,A,A
556539,A,A,A,A,A
486589,A,A,A,A,A
648298,A,A,A,A,A
555618,A,A,A,A,A
76528,A,A,A,A,A
472798,A,A,A,A,A
614509,A,A,A,A,A
697409,A,A,A,A,A
448249,A,A,A,A,A
147449,A,A,A,A,A
46249,A,A,A,A,A
301288,A,A,A,A,A
2749,A,A,A,A,A
462278,A,A,A,A,A
502769,A,A,A,A,A
320179,A,A,A,A,A
247219,A,A,A,A,A
445099,A,A,A,A,A
32258,A,A,A,A,A
46189,A,A,A,A,A
612028,A,A,A,A,A
213898,A,A,A,A,A
434128,A,A,A,A,A
409458,A,A,A,A,A
23288,A,A,A,A,A
177299,A,A,A,A,A
518329,A,A,A,A,A
524999,A,A,A,A,A
399228,A,A,A,A,A
264129,A,A,A,A,A
521099,A,A,A,A,A
639649,A,A,A,A,A
649859,A,A,A,A,A
579358,A,A,A,A,A
599679,A,A,A,A,A
402479,A,A,A,A,A
409008,A,A,A,A,A
400298,A,A,A,A,A
451749,A,A,A,A,A
39099,A,A,A,A,A
187969,A,A,A,A,A
315739,A,A,A,A,A
350489,A,A,A,A,A
135848,A,A,A,A,A
209208,A,A,A,A,A
451549,A,A,A,A,A
279438,A,A,A,A,A
245778,A,A,A,A,A
622839,A,A,A,A,A
427808,A,A,A,A,A
620708,A,A,A,A,A
59678,A,A,A,A,A
499049,A,A,A,A,A
665158,A,A,A,A,A
549188,A,A,A,A,A
185789,A,A,A,A,A
202898,A,A,A,A,A
271158,A,A,A,A,A
167528,A,A,A,A,A
595589,A,A,A,A,A
231698,A,A,A,A,A
180159,A,A,A,A,A
537129,A,A,A,A,A
609829,A,A,A,A,A
150098,A,A,A,A,A
611788,A,A,A,A,A
288558,A,A,A,A,A
65379,A,A,A,A,A
76698,A,A,A,A,A
631048,A,A,A,A,A
328388,A,A,A,A,A
636399,A,A,A,A,A
214308,A,A,A,A,A
134229,A,A,A,A,A
998,A,A,A,A,A
53148,A,A,A,A,A
685269,A,A,A,A,A
356268,A,A,A,A,A
273739,A,A,A,A,A
98639,A,A,A,A,A
695178,A,A,A,A,A
430888,A,A,A,A,A
619698,A,A,A,A,A
11068,A,A,A,A,A
375238,A,A,A,A,A
694608,A,A,A,A,A
710088,A,A,A,A,A
388218,A,A,A,A,A
300889,A,A,A,A,A
612688,A,A,A,A,A
49788,A,A,A,A,A
48299,A,A,A,A,A
686259,A,A,A,A,A
93638,A,A,A,A,A
249109,A,A,A,A,A
444919,A,A,A,A,A
73689,A,A,A,A,A
100078,A,A,A,A,A
355379,A,A,A,A,A
383638,A,A,A,A,A
42538,A,A,A,A,A
601859,A,A,A,A,A
555289,A,A,A,A,A
262389,A,A,A,A,A
102139,A,A,A,A,A
194269,A,A,A,A,A
31759,A,A,A,A,A
605348,A,A,A,A,A
285568,A,A,A,A,A
205799,A,A,A,A,A
220709,A,A,A,A,A
423538,A,A,A,A,A
165678,A,A,A,A,A
175339,A,A,A,A,A
23128,A,A,A,A,A
528858,A,A,A,A,A
180189,A,A,A,A,A
535949,A,A,A,A,A
94538,A,A,A,A,A
459029,A,A,A,A,A
247038,A,A,A,A,A
465759,A,A,A,A,A
498458,A,A,A,A,A
378139,A,A,A,A,A
455199,A,A,A,A,A
197848,A,A,A,A,A
341278,A,A,A,A,A
258719,A,A,A,A,A
192268,A,A,A,A,A
1308,A,A,A,A,A
60938,A,A,A,A,A
337269,A,A,A,A,A
470029,A,A,A,A,A
512418,A,A,A,A,A
435399,A,A,A,A,A
88999,A,A,A,A,A
324709,A,A,A,A,A
595878,A,A,A,A,A
20969,A,A,A,A,A
400999,A,A,A,A,A
359409,A,A,A,A,A
661869,A,A,A,A,A
248759,A,A,A,A,A
694998,A,A,A,A,A
494708,A,A,A,A,A
26589,A,A,A,A,A
261589,A,A,A,A,A
195128,A,A,A,A,A
223568,A,A,A,A,A
483099,A,A,A,A,A
429168,A,A,A,A,A
135769,A,A,A,A,A
33698,A,A,A,A,A
190798,A,A,A,A,A
386648,A,A,A,A,A
138129,A,A,A,A,A
23639,A,A,A,A,A
226788,A,A,A,A,A
701358,A,A,A,A,A
7758,A,A,A,A,A
210349,A,A,A,A,A
46409,A,A,A,A,A
169949,A,A,A,A,A
398799,A,A,A,A,A
351539,A,A,A,A,A
143909,A,A,A,A,A
339369,A,A,A,A,A
458599,A,A,A,A,A
705349,A,A,A,A,A
522749,A,A,A,A,A
298268,A,A,A,A,A
523208,A,A,A,A,A
514689,A,A,A,A,A
406168,A,A,A,A,A
598749,A,A,A,A,A
649228,A,A,A,A,A
631258,A,A,A,A,A
665998,A,A,A,A,A
89329,A,A,A,A,A
207098,A,A,A,A,A
293548,A,A,A,A,A
123648,A,A,A,A,A
178738,A,A,A,A,A
377448,A,A,A,A,A
167539,A,A,A,A,A
165888,A,A,A,A,A
604049,A,A,A,A,A
21368,A,A,A,A,A
288908,A,A,A,A,A
696268,A,A,A,A,A
545328,A,A,A,A,A
472539,A,A,A,A,A
457268,A,A,A,A,A
558539,A,A,A,A,A
152119,A,A,A,A,A
149289,A,A,A,A,A
196708,A,A,A,A,A
375808,A,A,A,A,A
664638,A,A,A,A,A
146269,A,A,A,A,A
693789,A,A,A,A,A
15289,A,A,A,A,A
353268,A,A,A,A,A
157438,A,A,A,A,A
547588,A,A,A,A,A
293648,A,A,A,A,A
667209,A,A,A,A,A
566719,A,A,A,A,A
673208,A,A,A,A,A
138589,A,A,A,A,A
556109,A,A,A,A,A
192728,A,A,A,A,A
660359,A,A,A,A,A
153178,A,A,A,A,A
708889,A,A,A,A,A
283788,A,A,A,A,A
124479,A,A,A,A,A
77868,A,A,A,A,A
124819,A,A,A,A,A
110718,A,A,A,A,A
258248,A,A,A,A,A
378548,A,A,A,A,A
380069,A,A,A,A,A
80919,A,A,A,A,A
563139,A,A,A,A,A
568509,A,A,A,A,A
519078,A,A,A,A,A
386718,A,A,A,A,A
81938,A,A,A,A,A
16528,A,A,A,A,A
446278,A,A,A,A,A
265569,A,A,A,A,A
53838,A,A,A,A,A
200168,A,A,A,A,A
661379,A,A,A,A,A
393289,A,A,A,A,A
492718,A,A,A,A,A
25309,A,A,A,A,A
107388,A,A,A,A,A
699508,A,A,A,A,A
223428,A,A,A,A,A
359768,A,A,A,A,A
538848,A,A,A,A,A
61658,A,A,A,A,A
146499,A,A,A,A,A
379028,A,A,A,A,A
232529,A,A,A,A,A
247408,A,A,A,A,A
25339,A,A,A,A,A
284039,A,A,A,A,A
707798,A,A,A,A,A
543898,A,A,A,A,A
166118,A,A,A,A,A
205489,A,A,A,A,A
191748,A,A,A,A,A
63588,A,A,A,A,A
628098,A,A,A,A,A
635388,A,A,A,A,A
226508,A,A,A,A,A
485879,A,A,A,A,A
113178,A,A,A,A,A
569828,A,A,A,A,A
541519,A,A,A,A,A
355299,A,A,A,A,A
537348,A,A,A,A,A
63518,A,A,A,A,A
289868,A,A,A,A,A
169038,A,A,A,A,A
386429,A,A,A,A,A
654149,A,A,A,A,A
541039,A,A,A,A,A
330008,A,A,A,A,A
617709,A,A,A,A,A
17538,A,A,A,A,A
33788,A,A,A,A,A
588339,A,A,A,A,A
312979,A,A,A,A,A
89968,A,A,A,A,A
689719,A,A,A,A,A
292119,A,A,A,A,A
609899,A,A,A,A,A
432658,A,A,A,A,A
451199,A,A,A,A,A
634859,A,A,A,A,A
187929,A,A,A,A,A
272868,A,A,A,A,A
99389,A,A,A,A,A
499459,A,A,A,A,A
274328,A,A,A,A,A
244688,A,A,A,A,A
28009,A,A,A,A,A
261068,A,A,A,A,A
172869,A,A,A,A,A
484879,A,A,A,A,A
667478,A,A,A,A,A
70199,A,A,A,A,A
616228,A,A,A,A,A
539729,A,A,A,A,A
325789,A,A,A,A,A
132829,A,A,A,A,A
616009,A,A,A,A,A
385199,A,A,A,A,A
354828,A,A,A,A,A
92658,A,A,A,A,A
65299,A,A,A,A,A
402548,A,A,A,A,A
44758,A,A,A,A,A
163109,A,A,A,A,A
214139,A,A,A,A,A
388579,A,A,A,A,A
470759,A,A,A,A,A
149918,A,A,A,A,A
129839,A,A,A,A,A
151989,A,A,A,A,A
10878,A,A,A,A,A
576018,A,A,A,A,A
543508,A,A,A,A,A
162539,A,A,A,A,A
501619,A,A,A,A,A
230139,A,A,A,A,A
214248,A,A,A,A,A
460949,A,A,A,A,A
544009,A,A,A,A,A
396379,A,A,A,A,A
637509,A,A,A,A,A
458908,A,A,A,A,A
688539,A,A,A,A,A
393498,A,A,A,A,A
453658,A,A,A,A,A
544029,A,A,A,A,A
295039,A,A,A,A,A
531499,A,A,A,A,A
425029,A,A,A,A,A
59238,A,A,A,A,A
54408,A,A,A,A,A
42809,A,A,A,A,A
696769,A,A,A,A,A
28259,A,A,A,A,A
476689,A,A,A,A,A
50709,A,A,A,A,A
518858,A,A,A,A,A
403389,A,A,A,A,A
409948,A,A,A,A,A
348999,A,A,A,A,A
283058,A,A,A,A,A
639298,A,A,A,A,A
592919,A,A,A,A,A
448238,A,A,A,A,A
74478,A,A,A,A,A
33328,A,A,A,A,A
10829,A,A,A,A,A
582299,A,A,A,A,A
558359,A,A,A,A,A
673439,A,A,A,A,A
609358,A,A,A,A,A
70259,A,A,A,A,A
298988,A,A,A,A,A
259978,A,A,A,A,A
